Year,Bottom 90%,Top 10%,Top 5%,Top 1%,Top 0.5%,Top 0.1%,Top 0.01%,Top 10% to 1%,Top 10% to 5%,Top 5% to 1%,Top 1% to 0.1%,Top 1% to 0.5%,Top 0.5% to 0.1%,Top 0.1% to 0.01%
1913,,,,0.44,0.39,0.23,0.09,,,,0.21,0.05,0.17,0.14
1914,,,,0.44,0.39,0.22,0.09,,,,0.22,0.05,0.17,0.13
1915,,,,0.44,0.39,0.23,0.11,,,,0.20,0.05,0.16,0.12
1916,,,,0.43,0.37,0.25,0.11,,,,0.18,0.06,0.12,0.13
1917,0.20,0.80,0.67,0.41,0.35,0.22,0.09,0.38,0.12,0.26,0.19,0.06,0.13,0.13
1918,0.22,0.78,0.65,0.37,0.30,0.18,0.07,0.40,0.13,0.27,0.20,0.07,0.13,0.11
1919,0.21,0.79,0.67,0.40,0.32,0.18,0.07,0.39,0.12,0.27,0.21,0.08,0.14,0.12
1920,0.23,0.77,0.63,0.36,0.28,0.15,0.05,0.42,0.15,0.27,0.21,0.07,0.13,0.10
1921,0.23,0.77,0.63,0.36,0.29,0.15,0.05,0.41,0.14,0.27,0.21,0.07,0.14,0.10
1922,0.21,0.79,0.65,0.39,0.32,0.17,0.06,0.40,0.13,0.26,0.22,0.08,0.14,0.11
1923,0.21,0.79,0.63,0.35,0.28,0.15,0.05,0.45,0.16,0.29,0.20,0.07,0.13,0.10
1924,0.19,0.81,0.65,0.37,0.30,0.16,0.06,0.44,0.15,0.28,0.21,0.07,0.14,0.10
1925,0.18,0.82,0.71,0.43,0.35,0.19,0.07,0.39,0.12,0.28,0.24,0.08,0.16,0.12
1926,0.17,0.83,0.72,0.45,0.36,0.20,0.08,0.38,0.11,0.27,0.25,0.09,0.16,0.13
1927,0.16,0.84,0.73,0.49,0.40,0.23,0.09,0.34,0.11,0.24,0.27,0.09,0.18,0.14
1928,0.16,0.84,0.74,0.51,0.42,0.25,0.10,0.33,0.10,0.23,0.27,0.09,0.18,0.15
1929,0.16,0.84,0.74,0.51,0.42,0.25,0.10,0.34,0.10,0.24,0.26,0.09,0.17,0.15
1930,0.16,0.84,0.75,0.49,0.40,0.23,0.09,0.35,0.09,0.26,0.26,0.09,0.17,0.14
1931,0.16,0.84,0.74,0.48,0.39,0.22,0.08,0.36,0.10,0.26,0.26,0.09,0.17,0.13
1932,0.16,0.84,0.74,0.47,0.39,0.22,0.08,0.37,0.10,0.27,0.25,0.08,0.17,0.15
1933,0.16,0.84,0.75,0.47,0.39,0.22,0.08,0.37,0.09,0.28,0.25,0.08,0.16,0.14
1934,0.17,0.83,0.73,0.47,0.39,0.22,0.07,0.35,0.09,0.26,0.25,0.08,0.17,0.14
1935,0.19,0.81,0.72,0.45,0.38,0.21,0.07,0.36,0.09,0.27,0.25,0.08,0.17,0.14
1936,0.18,0.82,0.72,0.45,0.37,0.20,0.07,0.36,0.10,0.27,0.25,0.08,0.17,0.13
